Date,total_cases,new_cases,jenis
3/2/2020,2,2,Kasus Awal Pertama
3/3/2020,2,0,Kasus Awal Pertama
3/4/2020,2,0,Kasus Awal Pertama
3/5/2020,2,0,Kasus Awal Pertama
3/6/2020,4,2,Kasus Awal Pertama
3/7/2020,4,0,Kasus Awal Pertama
3/8/2020,6,2,Kasus Awal Pertama
3/9/2020,19,13,Kasus Awal Pertama
3/10/2020,27,8,Kasus Awal Pertama
3/11/2020,34,7,Kasus Awal Pertama
3/12/2020,34,0,Kasus Awal Pertama
3/13/2020,69,35,Kasus Awal Pertama
3/14/2020,96,27,Kasus Awal Pertama
3/15/2020,117,21,Kasus Awal Pertama
3/16/2020,134,17,No event
3/17/2020,172,38,No event
3/18/2020,227,55,No event
3/19/2020,311,84,No event
3/20/2020,369,58,No event
3/21/2020,450,81,No event
3/22/2020,514,64,No event
3/23/2020,579,65,No event
3/24/2020,686,107,No event
3/25/2020,790,104,No event
3/26/2020,893,103,No event
3/27/2020,1046,153,No event
3/28/2020,1155,109,No event
3/29/2020,1285,130,No event
3/30/2020,1414,129,No event
3/31/2020,1528,114,No event
4/1/2020,1677,149,No event
4/2/2020,1790,113,No event
4/3/2020,1986,196,No event
4/4/2020,2092,106,No event
4/5/2020,2273,181,No event
4/6/2020,2491,218,No event
4/7/2020,2738,247,No event
4/8/2020,2956,218,No event
4/9/2020,3293,337,No event
4/10/2020,3512,219,No event
4/11/2020,3842,330,No event
4/12/2020,4241,399,No event
4/13/2020,4557,316,No event
4/14/2020,4839,282,No event
4/15/2020,5136,297,No event
4/16/2020,5516,380,No event
4/17/2020,5923,407,No event
4/18/2020,6248,325,No event
4/19/2020,6575,327,No event
4/20/2020,6760,185,No event
4/21/2020,7135,375,No event
4/22/2020,7418,283,No event
4/23/2020,7775,357,No event
4/24/2020,8211,436,No event
4/25/2020,8607,396,No event
4/26/2020,8882,275,No event
4/27/2020,9096,214,No event
4/28/2020,9511,415,No event
4/29/2020,9771,260,No event
4/30/2020,10118,347,No event
5/1/2020,10551,433,No event
5/2/2020,10843,292,No event
5/3/2020,11192,349,No event
5/4/2020,11587,395,No event
5/5/2020,12071,484,No event
5/6/2020,12438,367,No event
